0.002	5.850		25.302		4.614		-0.434		4.583
0.006	4.716		24.564		3.598		1.656		1.812
0.031	3.690		24.203		3.321		-1.943		-7.668
0.067	3.272		22.244		2.538		11.529		-11.503
0.081	3.196		21.268		2.518		14.525		-15.026
0.100	3.077		19.703		2.358		30.692		-12.490
0.118	2.998		19.653		1.624		24.486		-16.117
0.136	2.950		19.107		1.603		26.467		-15.300
0.159	2.875		17.229		0.780		31.510		-11.720
0.177	2.830		17.408		0.519		41.487		-11.845
0.192	2.795		16.870		0.068		53.818		-13.770
0.222	2.738		14.926		-0.249		58.963		-5.867
0.248	2.687		13.831		-0.402		60.376		-4.842
0.260	2.665		13.212		-0.629		69.675		-3.100
0.282	2.620		13.532		-0.104		70.683		-0.431
0.299	2.600		12.996		-0.858		72.216		2.772
0.327	2.573		11.495		-1.449		86.929		11.096
0.344	2.572		10.906		-1.427		84.770		9.289
0.362	2.529		11.642		-1.188		98.560		10.694
0.385	2.528		10.242		-0.974		99.773		18.625
0.397	2.502		10.461		-1.166		100.549		14.633
0.418	2.486		10.375		-1.020		115.509		22.050
0.444	2.437		8.943		-1.818		117.031		18.237
0.462	2.453		8.314		-1.675		119.761		22.631
0.478	2.426		9.024		-2.045		128.324		23.801
0.497	2.426		8.363		-1.679		136.125		25.390
0.520	2.395		8.129		-1.980		128.194		26.589
0.538	2.376		8.054		-1.320		144.035		25.020
0.563	2.390		6.671		-1.319		147.541		26.114
0.585	2.363		6.808		-0.949		153.834		18.915
0.596	2.370		6.236		-1.483		159.745		22.142
0.626	2.332		5.647		-1.096		161.006		22.080
0.635	2.316		6.139		-0.903		171.206		16.210
0.658	2.321		5.112		-1.137		174.478		20.636
0.682	2.315		5.047		-0.472		182.929		9.296
0.696	2.284		6.014		0.000		183.796		13.948
0.723	2.266		4.690		-0.288		197.586		2.560
0.738	2.272		4.472		-0.229		201.093		4.442
0.758	2.286		5.513		0.310		193.912		0.806
0.784	2.239		3.989		0.663		204.387		-2.411
0.793	2.264		4.945		0.462		201.973		-1.428
0.826	2.219		4.821		1.659		220.014		-7.642
0.848	2.226		4.629		1.591		224.499		-10.903
0.862	2.227		3.566		2.132		223.090		-13.823
0.872	2.212		4.483		2.288		232.663		-14.172
0.899	2.198		3.050		2.678		238.478		-20.689
0.920	2.188		4.106		3.109		240.387		-18.397
0.943	2.193		2.896		4.263		250.640		-19.752
0.958	2.190		3.559		4.440		258.110		-20.836
0.984	2.169		3.288		4.397		257.290		-18.513
0.994	2.175		3.226		4.572		261.832		-16.408
1.028	2.161		3.254		5.895		266.017		-8.011
1.045	2.143		3.536		5.976		270.294		-3.991
1.056	2.145		3.777		6.371		284.062		0.911
1.077	2.152		2.256		7.689		287.836		6.148
1.098	2.125		2.154		7.980		294.608		13.064
